Text|Label|Processed_Text
I'm not sure how I feel about this|Factual|
The price is a bit high|Factual|
I'm feeling neutral about this|Factual|
I don't know what to think about this|Factual|
I don't have an opinion on this|Factual|
I don't really care about this|Factual|
I'm undecided about this|Factual|
I'm indifferent to this|Factual|
I don't have strong feelings about this|Factual|
I have mixed feelings about this|Factual|
I don't care one way or the other|Factual|
I don't know what to make of this|Factual|
The noise level is tolerable|Factual|
I have no opinion on this|Factual|
The food was average|Factual|
The view from here is average|Factual|
I don't really care about this topic|Factual|
I'm not sure what to think about this|Factual|
The scenery here is average|Factual|
I have no strong feelings about this|Factual|
I don't have a preference|Factual|
The performance was mediocre|Factual|
I'm not sure if I like this|Factual|
The traffic is moderate|Factual|
I have no interest in this|Factual|
I don't have strong feelings either way|Factual|
I'm ambivalent about this|Factual|
The service at this restaurant was mediocre|Factual|
The movie was okay|Factual|
I don't really have an opinion on this|Factual|
The book was okay|Factual|
I don't care about this|Factual|
I'm not sure if I want to pursue this|Factual|
The food was not bad|Factual|
The service at this hotel was mediocre|Factual|
This phone is just okay|Factual|
I'm not interested in this|Factual|
The view from here is unremarkable|Factual|
I have no strong opinion on this|Factual|
The hotel was noisy during the day|Factual|
I'm unsure about this|Factual|
The scenery here is unimpressive|Factual|
I have no preference|Factual|
I'm not interested in this topic|Factual|
I'm on the fence about this|Factual|
The scenery here is unremarkable|Factual|
I don't care about this subject|Factual|
The hike was uneventful|Factual|
This is an average product|Factual|
The performance was good|Factual|
The food was satisfactory|Factual|
The service at this hotel was average|Factual|
This phone is average|Factual|
The traffic is typical for this time of day|Factual|
This movie was average|Factual|
The beach was average|Factual|
The museum was average|Factual|
The hotel was average|Factual|
This software is average|Factual|
The game was average|Factual|
The speaker was average|Factual|
I have no strong emotions about this|Factual|
The car is average|Factual|
The service at this restaurant was average|Factual|
This company is average|Factual|
The book was average|Factual|
I have no strong feelings one way or the other|Factual|
The weather is average today|Factual|
I'm not particularly interested in this|Factual|
The hike was average|Factual|
This is a typical product|Factual|
The performance was average|Factual|
I'm neutral on this|Factual|
The service at this hotel was standard|Factual|
This phone is standard|Factual|
The traffic is normal|Factual|
This movie was mediocre|Factual|
I have no strong opinion about this|Factual|
The beach was unremarkable|Factual|
The museum was standard|Factual|
The hotel was standard|Factual|
This software is standard|Factual|
The game was standard|Factual|
The speaker was standard|Factual|
The car is standard|Factual|
The service at this restaurant was standard|Factual|
The scenery here is standard|Factual|
This company is standard|Factual|
The book was standard|Factual|
I don't feel strongly about this|Factual|
The weather is normal today|Factual|
I have no particular interest in this|Factual|
The hike was standard|Factual|
This is a regular product|Factual|
The performance was satisfactory|Factual|
I'm undecided on this|Factual|
The food was regular|Factual|
The service at this hotel was okay|Factual|
This phone is regular|Factual|
The traffic is average|Factual|
This movie was regular|Factual|
The beach was typical|Factual|
The museum was okay|Factual|
I have no strong opinions about this|Factual|
This software is regular|Factual|
I'm neutral about this|Factual|
The service at this restaurant was okay|Factual|
The scenery here is regular|Factual|
This company is regular|Factual|
The weather is regular today|Factual|
I don't have a particular interest in this|Factual|
The hike was regular|Factual|
This is an ordinary product|Factual|
The performance was typical|Factual|
The food was ordinary|Factual|
This phone is ordinary|Factual|
The traffic is standard|Factual|
This movie was ordinary|Factual|
I have no strong opinions on this|Factual|
The beach was standard|Factual|
The hotel was ordinary|Factual|
This software is ordinary|Factual|
Hey.. what's up?|Factual|
I'm feeling so-so |Factual|
Thanks for your help!|Factual|
I'm not sure what to do |Factual|
Can we reschedule our meeting?|Factual|
I'm on my way!|Factual|
This weather is crazy |Factual|
I'm not feeling great |Factual|
I'm looking forward to our vacation! |Factual|
I don't know what I want to eat |Factual|
I'm in the middle of something. can I call you back later? |Factual|
I'm trying to decide between two options |Factual|
It was nice meeting you! |Factual|
I'm just hanging out at home |Factual|
I'm not really sure what you mean |Factual|
India|Factual|
I'm so tired |Factual|
Can you remind me of the details? |Factual|
I'm not feeling very productive today |Factual|
I'm just doing some work from home today |Factual|
I don't know if I have time for that |Factual|
I'm not sure if I'm doing this right |Factual|
I'm feeling a bit overwhelmed |Factual|
I'm not sure what to wear today |Factual|
I'm thinking about going for a run |Factual|
I'm not sure if I'm ready for this |Factual|
I'm just hanging out with friends tonight |Factual|
I'm really hungry |Factual|
I'm feeling a bit better now |Factual|
I'm not sure if I can make it to the meeting |Factual|
I'm not feeling well today |Factual|
I'm trying to stay positive |Factual|
I'm not sure what to say |Factual|
I'm feeling pretty good today |Factual|
I'm feeling a bit lost right now |Factual|
I'm just taking it easy today |Factual|
I'm feeling a bit anxious |Factual|
I'm not sure what to do next |Factual|
I'm not really sure how to respond to that |Factual|
I'm just enjoying the nice weather |Factual|
I'm feeling a bit under the weather |Factual|
I'm not sure if I should go to the gym |Factual|
I'm feeling a bit overwhelmed with work |Factual|
I'm just relaxing at home |Factual|
I'm not sure if I want to do that |Factual|
I'm feeling a bit bored |Factual|
I'm not sure if I'm up for that |Factual|
I'm just trying to stay focused |Factual|
I'm feeling a bit stressed out |Factual|
I'm not sure if I'm ready to make that decision |Factual|
I'm feeling a bit distracted today |Factual|
I'm just hanging out with my family today |Factual|
I'm feeling a bit uncertain about things right now |Factual|
I'm not sure what to make for dinner |Factual|
I'm just taking it one day at a time |Factual|
